NPRC-AWD|v2|2026-09-01|B47|2026-08-29
C|N26317143|Ahlquist|Andrew|R| 233|1964-08-24|1970-09-05|DA|Ahlquist-Bane|Clarence|1112 Marshall Rd|Portland|ME|04100-9624|Y|R|PFC
A|N26317143|SS|1|0|Y|A. AHLQUIST|NPRC Form 13, item 6
C|N39448902|Jessup|Andre|K| 286|1967-10-17|1974-07-05|PA|Jessup-Kane|Linda|9673 Pershing St|Sacramento|CA|95848-1030|N|C|PV2
A|N39448902|PB|1|1|N||NPRC Form 13, item 6
A|N39448902|AAM|1|2|N||NPRC Form 13, item 6
A|N39448902|MUC|1|1|N||NPRC Form 13, item 6
C|N67803479|Iverstone|Daniel|D|2402|1995-10-24|2000-06-11|GC|Iverstone|Luis|434 Madison Pl|Wheeling|WV|26047-9056|N|R|SFC
A|N67803479|GCM|1|0|N||NPRC Form 13, item 6
A|N67803479|ARCAM|1|0|N||NPRC Form 13, item 6
A|N67803479|AAM|1|2|N||NPRC Form 13, item 6
A|N67803479|ASR|1|2|N||NPRC Form 13, item 6
C|N52222771|Templeton|Joshua|R| 484|1953-12-09|1957-12-13|SO|Templeton-Ash|Jessica|7114 Juniper Ct|Lawton|OK|73535|Y|R|SGM
A|N52222771|BSM|1|1|Y|J. TEMPLETON|NPRC Form 13, item 6
C|N81457725|Jaramillo|Stephanie|W| 958|1966-06-17|1972-07-22|SO|Jaramillo|Norman|7695 Pershing Ct|Omaha|NE|68146|Y|E|SSG
A|N81457725|NDSM|1|1|N||NPRC Form 13, item 6
A|N81457725|AAM|1|0|N||NPRC Form 13, item 6
A|N81457725|CIB|1|2|N||NPRC Form 13, item 6
C|N85366654|Ledesma-Ortiz|Melissa|R| 677|1962-09-05|1965-06-26|SE|Ledesma-Ortiz|Melissa|1375 Lincoln Blvd|Columbus|OH|43298|N|R|SGM
A|N85366654|BSM|1|0|Y|M. LEDESMA-ORTIZ|NPRC Form 13, item 6
A|N85366654|MUC|1|0|N||NPRC Form 13, item 6
A|N85366654|SS|1|1|Y|M. LEDESMA-ORTIZ|NPRC Form 13, item 6
A|N85366654|NDSM|1|2|N||NPRC Form 13, item 6
A|N85366654|PH|1|0|Y|M. LEDESMA-ORTIZ|NPRC Form 13, item 6
C|N38190749|Ashcroft-Mayne|Timothy|D|4362|1983-05-23|1988-08-22|SE|Ashcroft-Mayne|Timothy|2062 Jefferson St|Portland|OR|97245|N|R|PVT
A|N38190749|AOM|1|2|N||NPRC Form 13, item 6
A|N38190749|ARCOM|1|2|Y|T. ASHCROFT-MAYNE|NPRC Form 13, item 6
A|N38190749|OSR|1|2|N||NPRC Form 13, item 6
A|N38190749|AFEM|1|2|N||NPRC Form 13, item 6
C|N89701727|Washington|Darnell|| 857|1966-05-23|1970-10-07|SO|Washington-Pryce|Earl|5838 Sycamore Blvd|Las Vegas|NV|89186-7207|N|C|COL
A|N89701727|SS|1|0|Y|D. WASHINGTON|NPRC Form 13, item 6
A|N89701727|MUC|1|0|N||NPRC Form 13, item 6
T|8|23
